排名,店铺名,粉丝数,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）
1,浩瀚卡券,119,3万-5万,25%-50%,0-5%,5万-10万
2,康妮卡券权益,43,3万-5万,25%-50%,0-5%,1万-5万
3,牛new寿喜烧,990,3万-5万,25%-50%,0-5%,1万-5万
4,野生小薯条,1.28万,10万以上,0-5%,5%-15%,1万-5万
5,瞌学家不焦虑,791,10万以上,5%-15%,5%-15%,1万-5万
6,奇思妙学,1.67万,7万-10万,15%-25%,5%-15%,1万-5万
7,参考答案阅览室,22.92万,7万-10万,0-5%,5%-15%,1万-5万
8,景欢Chimery,972,10万以上,5%-15%,5%-15%,1万-5万
9,发呆办主任,1.06万,7万-10万,5%-15%,5%-15%,1万-5万
10,GGT LAB,1.56万,3万-5万,5%-15%,0-5%,1万-5万
11,小轩素材,2.50万,10万以上,15%-25%,15%-25%,1万-5万
12,小雨天气,225,1万-3万,25%-50%,5%-15%,1万-5万
13,全国餐饮团购特惠折上折【10:00-22:00】,"2,390",3万-5万,15%-25%,0-5%,1万-5万
14,乖乖上岸(高分作文模板),1.29万,5万-7万,5%-15%,15%-25%,1万-5万
15,甜心饱饱爱美食,180,3万-5万,5%-15%,0-5%,1万-5万
16,小红他叔,7.18万,10万以上,0-5%,5%-15%,1万-5万
17,菜菜的社交心法,"2,274",10万以上,0-5%,25%-50%,1万-5万
18,大兴往返草桥票务,426,1万-3万,15%-25%,15%-25%,1万-5万
19,干饭快乐星球,"1,420",1万-3万,15%-25%,0-5%,1万-5万
20,学海无涯资料,"3,080",7万-10万,5%-15%,15%-25%,1万-5万
21,大兴草桥直达票务,"1,215",1万-3万,25%-50%,5%-15%,1万-5万
22,日本孙艺珍,3.68万,7万-10万,5%-15%,5%-15%,1万-5万
23,美食团,197,7万-10万,5%-15%,0-5%,1万-5万
24,全国美食特价券,424,1万-3万,5%-15%,0-5%,1万-5万
25,Cindy的英语世界,4.40万,5万-7万,5%-15%,5%-15%,1万-5万
26,省钱干饭君,"2,051",3万-5万,5%-15%,0-5%,1万-5万
27,西西的奇思妙想,"1,688",10万以上,0-5%,15%-25%,1万-5万
28,爱吃美食吖,66,1万-3万,5%-15%,0-5%,1万-5万
29,夏知的公考笔记,6.98万,10万以上,0-5%,5%-15%,1万-5万
30,佳渝美食优惠券,365,1万-3万,5%-15%,0-5%,1万-5万
31,呦呦妈妈,1.68万,3万-5万,5%-15%,5%-15%,1万-5万
32,Rework内参,1.74万,1万-3万,5%-15%,5%-15%,1万-5万
33,是嘟嘟嘟吖,"1,243",7万-10万,5%-15%,15%-25%,1万-5万
34,依欣官官,"3,000",10万以上,0-5%,5%-15%,1万-5万
35,禾老师资料库,"1,840",5万-7万,5%-15%,5%-15%,1万-5万
36,Vitamin思维维生素,898,3万-5万,5%-15%,5%-15%,1万-5万
37,香香吃什么,"1,195",3万-5万,5%-15%,0-5%,1万-5万
38,曦文城（点关联系客服最快回复❗）,654,7000-9000,15%-25%,15%-25%,1万-5万
39,干饭人的快乐薅,168,1万-3万,15%-25%,5%-15%,1万-5万
40,晴子の胶片天空,175,10万以上,5%-15%,5%-15%,1万-5万
41,小晨PPT,1.05万,1万-3万,5%-15%,15%-25%,1万-5万
42,我又要吃饭啦,413,1万-3万,15%-25%,0-5%,1万-5万
43,美食羊毛探长（在线秒回）,140,1万-3万,5%-15%,5%-15%,1万-5万
44,DanKoe知识库,"7,039",1万-3万,5%-15%,5%-15%,1万-5万
45,布雷酱的人生日记,2.46万,3万-5万,5%-15%,5%-15%,1万-5万
46,Rework阅览室,2.60万,1万-3万,5%-15%,5%-15%,1万-5万
47,香肩小羊（请看置顶）,3.49万,5万-7万,5%-15%,5%-15%,5000-1万
48,Better Living编辑部,6.18万,1万-3万,0-5%,5%-15%,5000-1万
49,天之趣旅,"1,758",1000-3000,25%-50%,0-5%,5000-1万
