排名,账号昵称,粉丝区间,阅读区间,成交金额区间
1,浩瀚卡券,,3万-5万,5万-10万
2,康妮卡券权益,,3万-5万,1万-5万
3,牛new寿喜烧,,3万-5万,1万-5万
4,野生小薯条,,10万以上,1万-5万
5,瞌学家不焦虑,,10万以上,1万-5万
6,奇思妙学,,7万-10万,1万-5万
7,参考答案阅览室,,7万-10万,1万-5万
8,景欢Chimery,,10万以上,1万-5万
9,发呆办主任,,7万-10万,1万-5万
10,GGT LAB,,3万-5万,1万-5万
11,小轩素材,,10万以上,1万-5万
12,小雨天气,,1万-3万,1万-5万
13,全国餐饮团购特惠折上折【10:00-22:00】,,3万-5万,1万-5万
14,乖乖上岸(高分作文模板),,5万-7万,1万-5万
15,甜心饱饱爱美食,,3万-5万,1万-5万
16,小红他叔,,10万以上,1万-5万
17,菜菜的社交心法,,10万以上,1万-5万
18,大兴往返草桥票务,,1万-3万,1万-5万
19,干饭快乐星球,,1万-3万,1万-5万
20,学海无涯资料,,7万-10万,1万-5万
21,大兴草桥直达票务,,1万-3万,1万-5万
22,日本孙艺珍,,7万-10万,1万-5万
23,美食团,,7万-10万,1万-5万
24,全国美食特价券,,1万-3万,1万-5万
25,Cindy的英语世界,,5万-7万,1万-5万
26,省钱干饭君,,3万-5万,1万-5万
27,西西的奇思妙想,,10万以上,1万-5万
28,爱吃美食吖,,1万-3万,1万-5万
29,夏知的公考笔记,,10万以上,1万-5万
30,佳渝美食优惠券,,1万-3万,1万-5万
31,呦呦妈妈,,3万-5万,1万-5万
32,Rework内参,,1万-3万,1万-5万
33,是嘟嘟嘟吖,,7万-10万,1万-5万
34,依欣官官,,10万以上,1万-5万
35,禾老师资料库,,5万-7万,1万-5万
36,Vitamin思维维生素,,3万-5万,1万-5万
37,香香吃什么,,3万-5万,1万-5万
38,曦文城（点关联系客服最快回复❗）,,7000-9000,1万-5万
39,干饭人的快乐薅,,1万-3万,1万-5万
40,晴子の胶片天空,,10万以上,1万-5万
41,小晨PPT,,1万-3万,1万-5万
42,我又要吃饭啦,,1万-3万,1万-5万
43,美食羊毛探长（在线秒回）,,1万-3万,1万-5万
44,DanKoe知识库,,1万-3万,1万-5万
45,布雷酱的人生日记,,3万-5万,1万-5万
46,Rework阅览室,,1万-3万,1万-5万
