排名,店铺名,粉丝数,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）,获取时间
1,浩瀚卡券,150,3万-5万,25%-50%,0-5%,5万-10万,2025-11-18
2,牛new寿喜烧,"1,007",3万-5万,25%-50%,0-5%,1万-5万,2025-11-18
3,参考答案阅览室,22.95万,7万-10万,0-5%,5%-15%,1万-5万,2025-11-18
4,小雨天气,227,1万-3万,25%-50%,5%-15%,1万-5万,2025-11-18
5,奇思妙学,1.68万,7万-10万,15%-25%,5%-15%,1万-5万,2025-11-18
6,GGT LAB,1.57万,3万-5万,5%-15%,0-5%,1万-5万,2025-11-18
7,瞌学家不焦虑,815,10万以上,5%-15%,5%-15%,1万-5万,2025-11-18
8,乖乖上岸(高分作文模板),1.30万,5万-7万,5%-15%,15%-25%,1万-5万,2025-11-18
9,发呆办主任,1.08万,7万-10万,5%-15%,5%-15%,1万-5万,2025-11-18
10,全国餐饮团购特惠折上折【10:00-22:00】,"2,404",3万-5万,15%-25%,0-5%,1万-5万,2025-11-18
11,甜心饱饱爱美食,189,3万-5万,5%-15%,0-5%,1万-5万,2025-11-18
12,野生小薯条,1.30万,10万以上,0-5%,5%-15%,1万-5万,2025-11-18
13,小轩素材,2.51万,10万以上,15%-25%,15%-25%,1万-5万,2025-11-18
14,菜菜的社交心法,"2,373",10万以上,0-5%,25%-50%,1万-5万,2025-11-18
15,大兴草桥直达票务,"1,252",1万-3万,25%-50%,15%-25%,1万-5万,2025-11-18
16,景欢Chimery,"1,020",7万-10万,5%-15%,5%-15%,1万-5万,2025-11-18
17,Cindy的英语世界,4.43万,7万-10万,5%-15%,5%-15%,1万-5万,2025-11-18
18,学海无涯资料,"3,105",7万-10万,5%-15%,15%-25%,1万-5万,2025-11-18
19,干饭快乐星球,"1,426",1万-3万,15%-25%,0-5%,1万-5万,2025-11-18
20,DanKoe知识库,"7,795",3万-5万,5%-15%,5%-15%,1万-5万,2025-11-18
21,夏知的公考笔记,6.99万,10万以上,0-5%,5%-15%,1万-5万,2025-11-18
22,吃喝玩乐超级补给,29,7000-9000,15%-25%,5%-15%,1万-5万,2025-11-18
23,小红他叔,7.17万,10万以上,0-5%,5%-15%,1万-5万,2025-11-18
24,日本孙艺珍,3.70万,7万-10万,5%-15%,5%-15%,1万-5万,2025-11-18
25,大兴往返草桥票务,437,1万-3万,15%-25%,15%-25%,1万-5万,2025-11-18
26,美食团,201,7万-10万,5%-15%,0-5%,1万-5万,2025-11-18
27,佳渝美食优惠券,369,1万-3万,5%-15%,0-5%,1万-5万,2025-11-18
28,干饭人的快乐薅,176,1万-3万,5%-15%,5%-15%,1万-5万,2025-11-18
29,禾老师资料库,"1,975",5万-7万,5%-15%,5%-15%,1万-5万,2025-11-18
30,省钱干饭君,"2,057",1万-3万,5%-15%,0-5%,1万-5万,2025-11-18
31,Better Living编辑部,6.22万,1万-3万,0-5%,5%-15%,1万-5万,2025-11-18
32,呦呦妈妈,1.69万,3万-5万,5%-15%,5%-15%,1万-5万,2025-11-18
33,天之趣旅,"1,759",3000-5000,25%-50%,0-5%,1万-5万,2025-11-18
34,是嘟嘟嘟吖,"1,301",7万-10万,5%-15%,15%-25%,1万-5万,2025-11-18
35,香香吃什么,"1,195",3万-5万,5%-15%,0-5%,1万-5万,2025-11-18
36,全国美食特价券,432,1万-3万,5%-15%,0-5%,1万-5万,2025-11-18
37,曦文城（点关联系客服最快回复❗）,682,7000-9000,15%-25%,15%-25%,1万-5万,2025-11-18
38,香肩小羊（请看置顶）,3.50万,5万-7万,5%-15%,5%-15%,1万-5万,2025-11-18
39,西西的奇思妙想,"1,815",10万以上,0-5%,15%-25%,1万-5万,2025-11-18
40,我又要吃饭啦,415,1万-3万,15%-25%,0-5%,1万-5万,2025-11-18
41,爱吃美食吖,67,1万-3万,5%-15%,0-5%,1万-5万,2025-11-18
42,美食羊毛探长（在线秒回）,141,1万-3万,5%-15%,0-5%,1万-5万,2025-11-18
43,Vitamin思维维生素,944,1万-3万,5%-15%,5%-15%,1万-5万,2025-11-18
44,美食券屯屯鼠,"1,486",3万-5万,5%-15%,0-5%,1万-5万,2025-11-18
45,绵眠,22,3万-5万,5%-15%,5%-15%,1万-5万,2025-11-18
46,Rework内参,1.74万,1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
47,美美券妹儿,481,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
48,Rework阅览室,2.61万,1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
49,吃喝玩乐补给站,115,1万-3万,15%-25%,0-5%,5000-1万,2025-11-18
50,券券小仓鼠,90,7000-9000,5%-15%,5%-15%,5000-1万,2025-11-18
51,布雷酱的人生日记,2.46万,3万-5万,5%-15%,5%-15%,5000-1万,2025-11-18
52,大众美食券,393,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
53,小康好卷,199,9000-1万,5%-15%,5%-15%,5000-1万,2025-11-18
