排名,笔记标题,账号昵称,发布时间,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）,获取时间
1,我的心理年龄16岁，差了整整10岁🤔,为你而测,2025-10-18,5万-7万,0-5%,50%-70%,￥0-1000,2025-11-18
2,1117-1121周报及基本面财务分析学习资料,股里冲浪之王（大号没了换这个）,2025-11-17,1000-3000,15%-25%,50%-70%,￥0-1000,2025-11-18
3,1113股里冲浪之王交易思考与计划,股里冲浪之王（大号没了换这个）,2025-11-13,3000-5000,5%-15%,50%-70%,￥0-1000,2025-11-18
4,1114思考与计划,股里冲浪之王（大号没了换这个）,2025-11-14,1000-3000,5%-15%,50%-70%,￥0-1000,2025-11-18
5,ENFP越想活得热烈，越被现实浇灭,心晴,2025-11-09,10万以上,0-5%,50%-70%,￥1000-5000,2025-11-18
6,我们高喊无爱者自由…,心晴,2025-11-11,10万以上,0-5%,50%-70%,￥1000-5000,2025-11-18
7,ENFP×年上！这对反骨CP锁死了,xiaoxiao6今天也不想上班,2025-11-15,1000-3000,15%-25%,50%-70%,￥0-1000,2025-11-18
8,怎么知道自己是抑郁，还是单纯不开心呢​？,心理扫码站,2025-10-15,5000-7000,0-5%,50%-70%,￥0-1000,2025-11-18
9,原来我真的没有任何天赋😭,心理交流站,2025-11-15,3万-5万,0-5%,50%-70%,￥0-1000,2025-11-18
10,年上年下测试｜你的隐藏恋爱倾向,xiaoxiao6今天也不想上班,2025-11-09,1万-3万,15%-25%,50%-70%,￥1000-5000,2025-11-18
11,重生回到老公假死当天，这次我直接选择成全,香菜灭绝者,2025-11-17,1000-3000,5%-15%,50%-70%,￥0-1000,2025-11-18
12,什么？对自由的精神需求度85%？！,得心应手。,2025-11-13,10万以上,0-5%,50%-70%,￥1000-5000,2025-11-18
13,我不需要被理解，我只需要被放过,心晴,2025-11-12,1万-3万,0-5%,50%-70%,￥0-1000,2025-11-18
14,恋爱占有欲指数测试免兑换码,元宝家的,2025-11-04,1000-3000,15%-25%,25%-50%,￥0-1000,2025-11-18
15,想不到我还挺有天赋的？,心理交流站,2025-10-23,10万以上,0-5%,25%-50%,￥0-1000,2025-11-18
16,我，笔仙本仙，被室友当小鬼供养,她,2025-11-08,3000-5000,0-5%,25%-50%,￥0-1000,2025-11-18
17,《恶毒炮灰他不想活了》小说txt 完结+番外,柠檬Y,2025-10-17,1000-3000,5%-15%,25%-50%,￥0-1000,2025-11-18
18,如果你怀疑自己正焦虑或抑郁，可以来测一测,情绪心理测试题,2025-09-26,1万-3万,5%-15%,25%-50%,￥1000-5000,2025-11-18
19,1112思考与计划,股里冲浪之王（大号没了换这个）,2025-11-12,3000-5000,5%-15%,25%-50%,￥0-1000,2025-11-18
20,会有人得了焦虑症，自己不知道吗？,身心疗愈心理研究院,2025-10-07,3万-5万,5%-15%,25%-50%,￥0-1000,2025-11-18
21,24种人格力量VIA，谁测谁清醒🌈,元点测试,2025-09-21,1000-3000,5%-15%,25%-50%,￥0-1000,2025-11-18
22,天塌了！测黑暗人格测出个讨好型人格,测测星海,2025-08-26,1000-3000,5%-15%,25%-50%,￥0-1000,2025-11-18
23,WPS会员一天体验卡！学姐的账号给你 速存！,应你所需,2025-11-05,1000-3000,50%-70%,25%-50%,￥0-1000,2025-11-18
24,总在猜 “我是不是双相”？别再自我内耗了,心理解码屋,2025-08-26,1000-3000,5%-15%,25%-50%,￥0-1000,2025-11-18
25,没错，我们低需求淡人是这样的🥲,Ruby,2025-11-17,9000-1万,5%-15%,25%-50%,￥0-1000,2025-11-18
26,金钱面前什么都可以让位！,一二测试,2025-11-15,9000-1万,0-5%,25%-50%,￥0-1000,2025-11-18
27,ENFP天蝎测年上年下恋爱倾向，居然是这样,xiaoxiao6今天也不想上班,2025-11-04,1000-3000,5%-15%,25%-50%,￥0-1000,2025-11-18
28,1111思考与计划,股里冲浪之王（大号没了换这个）,2025-11-11,3000-5000,5%-15%,25%-50%,￥0-1000,2025-11-18
29,我和诡秘一个魔丸一个灵珠！,测测星海,2025-10-05,5000-7000,5%-15%,25%-50%,￥0-1000,2025-11-18
30,双相装不出来的,疗愈心灵的港湾,2025-10-18,9000-1万,5%-15%,25%-50%,￥0-1000,2025-11-18
31,你们都是几级恋爱脑,南瓜心测,2025-11-11,7000-9000,0-5%,25%-50%,￥0-1000,2025-11-18
32,不是抑郁但总是不开心怎么办？,玺宁心理检测站,2025-11-07,3000-5000,0-5%,25%-50%,￥0-1000,2025-11-18
33,是的，我需要创造出爱和有安全感的自由,菲儿---,2025-11-13,9000-1万,0-5%,25%-50%,￥0-1000,2025-11-18
34,焦虑症如果不去看心理老师会越来越严重吗？,身心疗愈心理研究院,2025-09-21,3000-5000,0-5%,25%-50%,￥0-1000,2025-11-18
35,考研政治1994~2025历年真题及答案解析 自取,离雨淬阁,2025-09-08,3000-5000,5%-15%,25%-50%,￥0-1000,2025-11-18
36,26腿姐8套卷,上岸稳学长,2025-10-18,1000-3000,25%-50%,25%-50%,￥0-1000,2025-11-18
